# 6066
# 5976
# First number is number of lines in the file 
# Second number is the number of reactions
# alpha values increased by 1e12 since I treat GRAIN- and GRAIN0 as separate species
  294 C+           NH3          HCNH+        H                                        1.36e-09 -5.00e-01  0.00e+00   2
  295 C+           NH3          NH3+         C                                        6.80e-10 -5.00e-01  0.00e+00   2
  296 C+           SiC2H        SiC2H+       C                                        8.70e-10 -5.00e-01  0.00e+00   2
  297 C+           SiC2H        SiC3+        H                                        8.70e-10 -5.00e-01  0.00e+00   2
  298 C+           SiC3         SiC3+        C                                        2.44e-09 -5.00e-01  0.00e+00   2
  299 C+           SiCH2        SiC2+        H2                                       6.33e-10 -5.00e-01  0.00e+00   2
  300 C+           SiCH2        CH2Si+       C                                        6.33e-10 -5.00e-01  0.00e+00   2
  301 C+           SiCH2        SiC2H+       H                                        6.33e-10 -5.00e-01  0.00e+00   2
  302 C+           SiH3         CHSi+        H2                                       1.00e-09  0.00e+00  0.00e+00   2
  303 C+           SiH3         CH2Si+       H                                        1.00e-09  0.00e+00  0.00e+00   2
  304 C+           SiH3         SiH3+        C                                        1.00e-09  0.00e+00  0.00e+00   2
  305 C+           C2H2N        C2H2N+       C                                        2.04e-09 -5.00e-01  0.00e+00   2
  306 C+           C2H2O        C2H2O+       C                                        1.80e-09 -5.00e-01  0.00e+00   2
  307 C+           C2H3         C3H+         H2                                       6.70e-10 -5.00e-01  0.00e+00   2
  308 C+           C2H3         C2H3+        C                                        6.70e-10 -5.00e-01  0.00e+00   2
  309 C+           C2H3         C3H2+        H                                        3.35e-10 -5.00e-01  0.00e+00   2
  310 C+           C2H3         H2C3+        H                                        3.35e-10 -5.00e-01  0.00e+00   2
  311 C+           C3H2         C4+          H2                                       1.90e-09 -5.00e-01  0.00e+00   2
  312 C+           H2C3         C4+          H2                                       2.30e-09 -5.00e-01  0.00e+00   2
  313 C+           C3H2         C4H+         H                                        1.90e-09 -5.00e-01  0.00e+00   2
  314 C+           H2C3         C4H+         H                                        2.30e-09 -5.00e-01  0.00e+00   2
  315 C+           C4H          C5+          H                                        2.70e-09 -5.00e-01  0.00e+00   2
