# 15762
# 15711
# First number is number of lines in the file 
# Second number is the number of reactions
  247 H2C3         CRP          HC3          H                                        6.50E-14  0.00E+00  0.00E+00  46
  248 C4H          CRP          C4           H                                        6.50E-14  0.00E+00  0.00E+00  46
  249 C4N          CRP          C3           CN                                       1.30E-14  0.00E+00  0.00E+00  46
  250 C4P          CRP          C3P          C                                        1.95E-14  0.00E+00  0.00E+00  46
  251 C4S          CRP          C3           CS                                       1.95E-14  0.00E+00  0.00E+00  46
  252 C5           CRP          C4           C                                        1.30E-14  0.00E+00  0.00E+00  46
  253 CH2O2        CRP          HCO          OH                                       3.24E-15  0.00E+00  0.00E+00  46
  254 CH2O2        CRP          CH2O2+       E                                        8.45E-15  0.00E+00  0.00E+00  46
  255 CH2PH        CRP          HCP          H2                                       1.95E-14  0.00E+00  0.00E+00  46
  256 CHDPH        CRP          DCP          H2                                       6.50E-15  0.00E+00  0.00E+00  46
  257 CHDPH        CRP          HCP          HD                                       1.30E-14  0.00E+00  0.00E+00  46
  258 CH2PD        CRP          DCP          H2                                       6.50E-15  0.00E+00  0.00E+00  46
  259 CH2PD        CRP          HCP          HD                                       1.30E-14  0.00E+00  0.00E+00  46
  260 CD2PH        CRP          DCP          HD                                       1.30E-14  0.00E+00  0.00E+00  46
  261 CD2PH        CRP          HCP          D2                                       6.50E-15  0.00E+00  0.00E+00  46
  262 CHDPD        CRP          DCP          HD                                       1.30E-14  0.00E+00  0.00E+00  46
  263 CHDPD        CRP          HCP          D2                                       6.50E-15  0.00E+00  0.00E+00  46
  264 CD2PD        CRP          DCP          D2                                       1.95E-14  0.00E+00  0.00E+00  46
  265 CH3N         CRP          HCN          H2                                       6.47E-14  0.00E+00  0.00E+00  46
  266 CH2DN        CRP          DCN          H2                                       2.16E-14  0.00E+00  0.00E+00  46
  267 CH2DN        CRP          HCN          HD                                       4.31E-14  0.00E+00  0.00E+00  46
  268 CHD2N        CRP          DCN          HD                                       4.31E-14  0.00E+00  0.00E+00  46
  269 CHD2N        CRP          HCN          D2                                       2.16E-14  0.00E+00  0.00E+00  46
  270 CD3N         CRP          DCN          D2                                       6.47E-14  0.00E+00  0.00E+00  46
  271 CH4          CRP          CH2          H2                                       3.04E-14  0.00E+00  0.00E+00  46
  272 CH3D         CRP          CHD          H2                                       1.52E-14  0.00E+00  0.00E+00  46
  273 CH3D         CRP          CH2          HD                                       1.52E-14  0.00E+00  0.00E+00  46
  274 CH2D2        CRP          CD2          H2                                       5.07E-15  0.00E+00  0.00E+00  46
  275 CH2D2        CRP          CHD          HD                                       2.03E-14  0.00E+00  0.00E+00  46
  276 CH2D2        CRP          CH2          D2                                       5.07E-15  0.00E+00  0.00E+00  46
  277 CHD3         CRP          CD2          HD                                       1.52E-14  0.00E+00  0.00E+00  46
  278 CHD3         CRP          CHD          D2                                       1.52E-14  0.00E+00  0.00E+00  46
  279 HC3N         CRP          C2H          CN                                       2.24E-14  0.00E+00  0.00E+00  46
  280 SiC2H2       CRP          SiC2         H2                                       1.95E-14  0.00E+00  0.00E+00  46
  281 SiC3H        CRP          SiC3         H                                        1.95E-14  0.00E+00  0.00E+00  46
  282 SiC4         CRP          SiC2         C2                                       1.95E-14  0.00E+00  0.00E+00  46
  283 SiCH3        CRP          SiCH2        H                                        1.95E-14  0.00E+00  0.00E+00  46
  284 SiCH2D       CRP          SiCHD        H                                        1.30E-14  0.00E+00  0.00E+00  46
  285 SiCH2D       CRP          SiCH2        D                                        6.50E-15  0.00E+00  0.00E+00  46
  286 SiCHD2       CRP          SiCD2        H                                        6.50E-15  0.00E+00  0.00E+00  46
  287 SiCHD2       CRP          SiCHD        D                                        1.30E-14  0.00E+00  0.00E+00  46
  288 SiCD3        CRP          SiCD2        D                                        1.95E-14  0.00E+00  0.00E+00  46
  289 SiH4         CRP          SiH2         H2                                       1.95E-14  0.00E+00  0.00E+00  46
  290 SiH3D        CRP          SiHD         H2                                       9.75E-15  0.00E+00  0.00E+00  46
  291 SiH3D        CRP          SiH2         HD                                       9.75E-15  0.00E+00  0.00E+00  46
  292 SiH2D2       CRP          SiD2         H2                                       3.25E-15  0.00E+00  0.00E+00  46
  293 SiH2D2       CRP          SiHD         HD                                       1.30E-14  0.00E+00  0.00E+00  46
  294 SiH2D2       CRP          SiH2         D2                                       3.25E-15  0.00E+00  0.00E+00  46
  295 SiHD3        CRP          SiD2         HD                                       9.75E-15  0.00E+00  0.00E+00  46
  296 SiHD3        CRP          SiHD         D2                                       9.75E-15  0.00E+00  0.00E+00  46
  297 C2H3N        CRP          CH3          CN                                       6.19E-14  0.00E+00  0.00E+00  46
  298 C2H3N        CRP          C2H3N+       E                                        2.91E-14  0.00E+00  0.00E+00  46
  299 C2H4         CRP          C2H2         H2                                       4.81E-14  0.00E+00  0.00E+00  46
  300 C2H3D        CRP          C2HD         H2                                       2.40E-14  0.00E+00  0.00E+00  46
  301 C2H3D        CRP          C2H2         HD                                       2.40E-14  0.00E+00  0.00E+00  46
  302 C2H2D2       CRP          C2D2         H2                                       8.02E-15  0.00E+00  0.00E+00  46
  303 C2H2D2       CRP          C2HD         HD                                       3.21E-14  0.00E+00  0.00E+00  46
  304 C2H2D2       CRP          C2H2         D2                                       8.02E-15  0.00E+00  0.00E+00  46
  305 C2HD3        CRP          C2D2         HD                                       2.40E-14  0.00E+00  0.00E+00  46
  306 C2HD3        CRP          C2HD         D2                                       2.40E-14  0.00E+00  0.00E+00  46
  307 C2H4         CRP          C2H4+        E                                        1.01E-14  0.00E+00  0.00E+00  46
  308 C2H3D        CRP          C2H3D+       E                                        1.01E-14  0.00E+00  0.00E+00  46
  309 C2H2D2       CRP          C2H2D2+      E                                        1.01E-14  0.00E+00  0.00E+00  46
  310 C2HD3        CRP          C2HD3+       E                                        1.01E-14  0.00E+00  0.00E+00  46
  311 C3H3         CRP          C3H2         H                                        3.25E-14  0.00E+00  0.00E+00  46
  312 C3H3         CRP          H2C3         H                                        3.25E-14  0.00E+00  0.00E+00  46
  313 C4H2         CRP          C2H          C2H                                      2.25E-14  0.00E+00  0.00E+00  46
  314 C4H2         CRP          C4H          H                                        2.25E-14  0.00E+00  0.00E+00  46
  315 C4H2         CRP          C4H2+        E                                        1.46E-14  0.00E+00  0.00E+00  46
